Title,Category,Img,Country,URL,Domain
Reader Supported News (RSN),left,left8.png,NA,http://readersupportednews.org,readersupportednews.org
Reading the Pictures,left,left10.png,NA,http://www.readingthepictures.org,readingthepictures.org
Real News Network,left,left10.png,USA,https://therealnews.com/,therealnews.com
Red Pepper,left,left2.png,United Kingdom,http://www.redpepper.org.uk/,redpepper.org.uk
Refinery29,left,left6.png,USA,https://www.refinery29.com/,refinery29.com
Republicans Suck,left,left1.png,NA,http://republicanssucks.org,republicanssucks.org
Republic Report,left,left8.png,USA,https://www.republicreport.org,republicreport.org
Resilience (Post Carbon Institute),left,left3.png,USA,https://www.resilience.org,resilience.org
Revcom.us,left,extremeleft05.png,USA,https://revcom.us/,revcom.us
Rewire News Group,left,left8.png,USA,https://rewirenewsgroup.com/,rewirenewsgroup.com
Right Wing Watch,left,left3.png,USA,https://www.rightwingwatch.org/,rightwingwatch.org
Ring of Fire,left,left2.png,USA,https://trofire.com/,trofire.com
Rolling Stone,left,left9.png,USA,https://www.rollingstone.com/,rollingstone.com
Salon,left,left6.png,USA,https://www.salon.com,salon.com
San Francisco Bay View,left,left3.png,USA,https://sfbayview.com/,sfbayview.com
Scary Mommy,left,left12.png,USA,https://www.scarymommy.com/,scarymommy.com
Second Nexus,left,left8.png,USA,https://secondnexus.com,secondnexus.com
Seventeen,left,left7.png,USA,https://www.seventeen.com/,seventeen.com
Shadow Proof,left,left4.png,NA,https://shadowproof.com,shadowproof.com
Shareblue,left,left1.png,USA,https://shareblue.com/,shareblue.com
Shondaland,left,left11.png,USA,https://www.shondaland.com/,shondaland.com
Slate,left,left8.png,USA,https://slate.com,slate.com
Sludge,left,left11.png,USA,https://readsludge.com/,readsludge.com
Smirking Chimp,left,left8.png,NA,http://www.smirkingchimp.com/,smirkingchimp.com
Socialist Standard,left,left3.png,United Kingdom,https://www.worldsocialism.org/spgb/,worldsocialism.org
SocialistWorker.org,left,left3.png,USA,https://socialistworker.org/,socialistworker.org
Source Politics,left,left2.png,USA,https://www.sourcepolitics.com,sourcepolitics.com
SourceWatch,left,left5.png,USA,https://www.sourcewatch.org/,sourcewatch.org
Southern Poverty Law Center (SPLC),left,left11.png,USA,https://www.splcenter.org/,splcenter.org
Splinter,left,left3.png,USA,https://splinternews.com,splinternews.com
St. Pete for Peace,left,left11.png,USA,https://www.stpete4peace.org/,stpete4peace.org
Syriana Analysis,left,left11.png,NA,http://www.syriana-analysis.com,syriana-analysis.com
Talking Points Memo,left,left8.png,USA,https://talkingpointsmemo.com,talkingpointsmemo.com
Teen Vogue,left,left7.png,USA,https://www.teenvogue.com,teenvogue.com
The 19th News,left,left5.png,USA,https://19thnews.org/,19thnews.org
The Advocate,left,left8.png,USA,https://www.advocate.com,advocate.com
The American Independent Institute,left,left7.png,USA,https://americanindependent.com/,americanindependent.com
The American Prospect,left,left7.png,USA,https://prospect.org,prospect.org
The Austin Chronicle,left,left10.png,USA,https://www.austinchronicle.com,austinchronicle.com
The Blue Route,left,left4.png,USA,http://theblueroute.org/,theblueroute.org
The Burning Spear,left,left7.png,NA,http://www.theburningspear.com/,theburningspear.com
